CUSTNAME,REGION,PARTNUM,REVENUE,COST,MARGIN
3-I INDUSTRIAL SUPPLY,02-Central,793450174,5827.5,1552.96,4274.54
3-I INDUSTRIAL SUPPLY,02-Central,734990000,798.4,110.59,687.81
3M COMPANY,01-East,727032005,24097.5,19851.82,4245.68
3M COMPANY,02-Central,727032004,2514017.7,1754572.03,759445.67
3M COMPANY,02-Central,793001000,568488,226065.71,342422.29
4-STATE SUPPLY,01-East,735602000,156200,52381.38,103818.62
4-STATE SUPPLY,01-East,777143000,34927.2,15382.08,19545.12
4-STATE SUPPLY,01-East,777142000,21989.4,12562.5,9426.9
4-STATE SUPPLY,01-East,735750000,12487,3686.91,8800.09
4-STATE SUPPLY,02-Central,735602000,166880,55965.54,110914.46
4-STATE SUPPLY,02-Central,735750000,11033,3165.27,7867.73
4-STATE SUPPLY,02-Central,735862000,1200,514.02,685.98
A G C INC.,01-East,791104479,78642,18147.4,60494.6
A G C INC.,01-East,791106280,3340.46,7614.14,-4273.68
A O SMITH,02-Central,793000000,1706,114.88,1591.12
A O SMITH,02-Central,726000240,662.4,44.38,618.02
A P S TECHNOLOGY,01-East,764521000,333,13.27,319.73
A W CHESTERTON COMPANY,01-East,770560000,2937.6,258.27,2679.33
A W CHESTERTON COMPANY,01-East,770568000,1029,89.5,939.5
A W CHESTERTON COMPANY,02-Central,770210000,826.5,92.16,734.34
A W CHESTERTON COMPANY,02-Central,770372000,660.8,53.11,607.69
A&F WHOLESALE INSULATION,01-East,770264000,95134.5,41677.18,53457.32
A&F WHOLESALE INSULATION,01-East,735602000,89103.5,26645.65,62457.85
A&F WHOLESALE INSULATION,01-East,764861000,70882,30089.92,40792.08
A&F WHOLESALE INSULATION,01-East,764521000,70611,22683.19,47927.81
A&F WHOLESALE INSULATION,01-East,770220200,69066,21411.45,47654.55
A&F WHOLESALE INSULATION,01-East,724281200,45570,24306.87,21263.13
A&F WHOLESALE INSULATION,01-East,733151500,21384,5113.93,16270.07
A&F WHOLESALE INSULATION,01-East,764901000,12155,3649.65,8505.35
A&F WHOLESALE INSULATION,01-East,770380000,12140,2314.54,9825.46
